gene	female-infant-fine-2
1	0
10	-0.0016101638714576334
100	0
1000	0
10000	0
100009676	0
10001	0
10002	0
10003	0
10004	0
100048912	0
10005	0
10006	0
10007	-0.0018156361654584911
10008	0
10009	0
100093630	0.02327310701798846
100093698	0
1001	0.0010723880147674384
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	0
100126791	0
100126793	-0.008325720293759773
100127888	0
100127983	0
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	-0.016836253280826236
100128325	0
100128554	0
100128590	-0.0249200973278515
100128640	0
100128731	0
100128750	0
100128782	0
100128788	0
100128881	0.008905696692936952
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	-0.011148073615887684
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	-0.007304883434729189
100129597	0
100129620	0
100129654	0
100129662	-0.004719191653651405
100129716	0
100129722	0
100129726	0
100129792	9.34999773840245e-4
100129794	0
100129827	0.007446639858621905
100129845	0
100129858	0.031728425215947556
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.0025229897520686316
100130449	0
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0.01749656427821018
100130705	0
100130717	0
100130733	0
100130776	0.0025053104608799876
100130894	0
100130933	0
100130950	4.219110664894301e-4
100130958	0.009303086449303994
100130967	0
100131017	0
100131067	-0.014142532670350398
100131117	0
100131138	0
100131187	0
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	-0.055180893759121975
100131496	0
100131655	0
100131691	0
100131755	-0.031127890321347846
100131801	0
100131814	-0.009812513588615861
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	0
100133311	0
100133461	0
100133612	0
100133941	0.03851907789004148
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0.004443436105775557
100137047	0
10014	0
100141515	0
100144597	0
100144602	0
100144603	0
100144748	0.005718335221507778
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	4.674640188664309e-4
10018	0
100188893	0
100188953	0
100189589	0
10019	0
100190938	0.0012169568641977806
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	-0.015623376074769886
100287366	0
100287482	0.03146504452162067
100287569	0
100287616	0
100287814	0
100287896	-0.004624514469628097
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-0.0031632144343369945
100288797	0
100289092	0
100289097	0
100289098	-0.019670138939523015
100289187	0
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	0
100302691	0
100303728	-0.0015906495557705246
100303755	0
100306951	0
100316904	0
100329135	0
100359394	0
10036	0
100379174	0
10038	0
100381270	0.03451041441844703
10039	0
1004	0
10040	0
10042	0
100422737	0.0012469597674408042
10043	-0.006783603103093137
10044	0
10045	0
10046	-0.00882904863808799
10047	0
10048	0
10049	-0.021171727034709972
100499171	0
1005	0
10050	0
100500850	0
100505474	0
100505478	0
100505495	0
100505501	-0.012682736306389152
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	-0.003610000040689625
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	-0.009401536775651134
100505685	0
100505687	0
100505696	0
100505715	0
100505718	0
100505738	0
100505741	0
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0
100505839	0
100505841	0
100505851	0
100505854	0
100505876	0
100505877	0
100505879	0
100505881	0.012579218716794
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0
100505967	0
100505975	0
100505978	0
100505984	-5.946411829702024e-4
100505985	0
100505989	-0.0013621901495254986
100506012	0
100506013	0
100506022	0
100506025	0
100506049	0
100506068	0
100506071	0
100506082	0
100506083	0
100506098	0
100506100	0
100506107	0
100506108	0
100506113	0
100506115	0
100506119	-0.007500118606271326
100506122	0
100506125	0
100506126	0
100506127	0
100506142	-2.113013407023956e-4
100506144	-0.011886416095621561
100506172	-0.0074781015117462895
100506175	0
100506195	0
100506207	0
100506215	0
100506229	-0.01073008243119682
100506237	0
100506243	0.002945551794724092
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0
100506314	-0.032674263661175124
100506319	0
100506368	0
100506374	0.005043117856423963
100506380	0
100506385	-0.0027824041382881726
100506405	0
100506406	0
100506409	0
100506413	0
100506421	-0.006673892730024213
100506428	-5.482876234596892e-4
100506433	-0.0018121753894588654
100506457	-8.142831976451467e-5
100506462	-2.280669471439562e-5
100506465	0.0023502162428680733
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	-0.0011597103484307979
100506504	-0.003943309616113683
100506526	0
100506527	0.002894352703784203
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0.007091410098708174
100506599	0
100506603	0
100506606	0
100506622	0
100506655	0
100506660	0
100506668	0
100506675	0.04241516292153671
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0
100506696	0
